pred,true,rouge_1,rouge_2,rouge_l
<bos> great pizza style pizza . the pizza is delicious and the crust is great . it 's a little pricey but it 's worth it . it is a little expensive . <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>,"<bos> very unique pizza style . there 's dollops of cheese rather than cheese spread out . they use ingredients sparingly also . despite that , it was still pretty tasty pizza . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",0.112,0.016260162601626015,0.096
<bos> i love this place . everything is delicious and the service is great . i highly recommend this place to anyone in the area . very clean and friendly . <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>,<bos> love this place ! everything is so fresh and tasty . service is friendly and fast but be ready to wait for a table as this place is very popular . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0.25196850393700787,0.09600000000000002,0.2047244094488189
<bos> i 've been here a couple of times and i love it ! ! ! i love the cut and the cut is amazing ! ! they have a great job and very friendly ! ! <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>,"<bos> go with alejandro ! great cuts easy to book tru the cut app also easy to pay he uses all kinds of payment apps , decoration and vibe are so cool the "" kast iron "" furniture <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",0.13008130081300814,0.01652892561983471,0.0975609756097561
"<bos> the service was great , the tables were clean and the tables are clean . we had a large group of us and we were seated at the bar . we were able to get our food and we had great service . we will be back for sure","<bos> always good service inside , the drive thru still have some work , it can be faster in the mornings . i come at all times during the day , sometimes after work around 7 that 's the only time sometimes i find the creamer thing empty , or the messy tables . but over all i love this starbucks <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",0.14516129032258066,0.0,0.0967741935483871
<bos> great authentic mexican food . great atmosphere and great restaurant . very friendly and helpful . <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>,<bos> legit mexican food . good clean restaurant and good atmosphere . i would highly recommend it . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0.109375,0.015873015873015876,0.09374999999999999
<bos> this place is fun . the atmosphere is fun and the tacos are delicious . i had the tacos and they were delicious . it was a little pricey but it was worth it . i would definitely come back again . <eos> <eos> <eos> <eos> <eos> <eos> <eos>,<bos> great taco place where you can see grandmas in the back making tortillas and tacos . this is a cool place with a great atmosphere and great tasting tacos . only thing is their policy on refills is that they are not free . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0.23809523809523808,0.0,0.12698412698412698
"<bos> this place is not great . the portions are small , but the food is not good . the ice tea is really good , but it 's a good place to go for a quick bite . the only thing is that it is a little pricey but","<bos> the place here is no good . the food portions are small ( breakfast ) compared to others and prices are n't that cheap . food have no flavor , so blend .... milk tea is watery ! this cafe will be removed from my list . wo n't return ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",0.22950819672131148,0.049999999999999996,0.14754098360655737
<bos> the food was great . the portion was small but the taste was good . the taste is good . i had the chicken sandwich and it was delicious . it was a little pricey but it was worth it . i will be back for sure . i,<bos> best vietname food here . new discover : shrimp and crab soup with vermicelli . amazing ! the portion is quite small . and always too many people waiting . also . i waited 28mins for my meal . taste is unbeatable . if you have alot of time to spend for a meal . here pretty good ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0.2051282051282051,0.03478260869565217,0.13675213675213674
<bos> i 've been here a couple of times and i have been coming here for a few years now . the fish sandwiches are great and the customer service is great . i love the experience here . i highly recommend this place to anyone . <eos> <eos> <eos>,"<bos> always delicious and hot . the frys are sooo yuuuumers ! . great fish sandwiches too . the friendly customer service makes it a pleasant and well worth the money experience . matter of fact , now i want some culver 's .... on my way ... <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",0.2786885245901639,0.03333333333333334,0.19672131147540983
<bos> one of the best mexican restaurants in vegas . this place is a great place to hang out with friends . the salsa area is great and the margaritas are great . <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>,<bos> standard mexican fare ... great place to bring out of town guest ! loved the beautiful outdoor dinning area around the water . enchiladas and guacamole were very good and margarita were drinkable ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0.1889763779527559,0.032,0.15748031496062995
"<bos> the service was great , but the food was very good . the steaks were good , but it was a little pricey for the price . i had the steak and it was good . it was n't the best i 've ever had . it 's a","<bos> the service was great , but the food was horrible . we went for dinner , we were excited for some great steaks . i had the flat iron , it was n't cooked properly and was very chewy ! the qualify of the meat did n't match the price . way over priced for a "" casual "" dinner place . $ 38 for a flat iron is a bit ridiculous ... tried it , wo n't ever be back . <eos>",0.4067796610169492,0.1206896551724138,0.2542372881355932
<bos> i love this place . the food is delicious and the pizza is delicious . i have been here a few times and the service is always great . i love their pizza and their pizza is always delicious . it 's a little pricey but it 's worth,"<bos> a m a z i n g ! ! ! ! ! ! love this place ! food is always consistent , the gluten free pizza is excellent ! i crave the pine nut , gorgonzola and chicken salad ! service with a smile is quick and always attentive ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",0.3389830508474576,0.08620689655172413,0.2711864406779661
<bos> great food and service . the margaritas are really good and the music is great . it 's a little pricey but it 's worth it . <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>,<bos> the food is great . we had the enchiladas and they were great . the 2 for 1 margarita special was awesome . the live singing was great too . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0.14173228346456693,0.016,0.11023622047244093
"<bos> great service , great place , very friendly and helpful . i had a great job with my friends and i was very happy with my nails . i will be back for sure . <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>",<bos> good service and a cute little place to grab a bite but beware of the refried beans . best time to go is the happy hour . saved a little on the bill on the appetizer . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,0.1111111111111111,0.0,0.09523809523809523
